Titulo;Autor;Editorial;Año
Historia y Memoria;;Universidad Pedagogica y tecnologica de Colombia;2010
Historia y Memoria, Producción Historiográfica y Archivística;Jorge Palacios Preciado;Universidad Pedagogica y tecnologica de Colombia;2003
Hito N25;;Asociación Colombiana de Facultades de Arquitectura (ACFA);2011
Hito N28;;Asociación Colombiana de Facultades de Arquitectura (ACFA);2015
Huellas de la Recolección;Agustinos Recoletos IV Centenario;;2005
Imagen Regional 9, Territorios Guardianes.;;Museo de arte Miguel Urrutia (MAMU);2021
Inst. Glosario para inventarios Bienes Culturales Inmuebles.;;Ministerio de cultura direccion de patrimonio;2005
Inst. Instructivo Grupo Documental, Subgrupo Audiovisual;;Ministerio de cultura direccion de patrimonio;2005
Inst. Instructivo grupo documental, subgrupo documento histórico, archivo administrativo, gráfico y cartográfico;;Ministerio de cultura direccion de patrimonio;2005
Inst. Instructivo Grupo Documental, Subgrupo Sonoro y Musical;;Ministerio de cultura direccion de patrimonio;2005
Inst. Instructivo Grupo Monumento en Espacio Público;;Ministerio de cultura direccion de patrimonio;2005
Inst. Instructivo Grupos Arqueológico y Etnográfico;;Ministerio de cultura direccion de patrimonio;2005
Inst. Instructivo Grupos Artístico y Utilitario;;Ministerio de cultura direccion de patrimonio;2005
Inst. Manual para inventarios, Bienes Culturales Muebles;;Ministerio de cultura direccion de patrimonio;2005
Intervención en patrimonio;Maria Isabel Tello Fernandez;Universidad de la Salle;2013
Introducción a la historia;Marc Bloch;Fondo de cultura económica Mexico;1997
Introducción al diseño industrial;Edward Zambrano Lozano;;2007
Itinerario del museo nacional de Colombia 1823-1994;Martha Segura;Museo Nacional de Colombia;1995
Itinerario del museo nacional de Colombia 1823-1994 Tomo II;Martha Segura;Museo Nacional de Colombia;1995
La Casa del Teatro Nacional 10 años;;Alcaldia mayor de Bogotá D.C.;2004
La imagen de la ciudad en las artes y en los medios.;Beatriz García Moreno;Universidad Nacional de Colombia;2000
La Investigación en la Universidad Catolica de Colombia.;;Universidad Católica de Colombia;2022
La verdad en la historia;Oscar Handlin;Fondo de cultura económica Mexico;1997
Logicas del poder y regulacion de espacios.;David Camargo;Universidad Nacional de Colombia;2003
Más que un colegio: Infraestructura educativa para la Bogotá del Siglo XXI;;Alcaldía Mayor de Bogotá D.C.;2023
Medio siglo de vivienda social en Colombia 1939 - 1989;Instituto Nacional de Vivienda de interés social y reforma urbana INURBE;Ministerio de desarrollo economico;1995
Museo del oro Zenú;;Banco de la Republica de Colombia;2023
Paisajes e itinerarios Culturales como estrategias para el desarrollo, Libro de memorias.;Maria Isabel Tello;Restauradores sin fronteras;2008
Patrimonio Arquitectónico y restauración;;Universidad Jorge Tadeo Lozano;
Patrimonio cultural: Intetración y desarrollo en América Latina;Gonzalo Castellanos;Fondo de cultura económica Mexico;2010
Pensar Historicamente;Pierre Vilar;Critica, Libros de Historia;1997
Plan maestro de espacio público, Documento resumen acuerdos para construir ciudad.;;Alcaldia mayor de Bogotá D.C.;2007
Plan maestro de espacio público, Documento tecnico de soporte.;;Alcaldia mayor de Bogotá D.C.;2007
Planes parciales en el marco del taller de diseño urbano;;Universidad nacional de colombia;2010
Políticas Culturales Distritales 2004-2016;;Alcaldia mayor de Bogotá D.C.;2004
Revista Historia de la Educación Latinoamericana;;Sociedad de Historia de la Educación Latinoamericana;2000
Santuario de nuestra señora del Carmen;Mario Leonardo Peresson Tonelli;Ediciones Salesianas;2018
Seminario de Consulta Nacional para la discusion de las politicas para el Patrimonio Inmueble;;Ministerio de cultura direccion de patrimonio;2000
Una lección de Historia;Fernan Baudel;Biblioteca Mondadori;1994
Unicarta, El surrealismo del siglo XXI;Jesús María Stapper;Universidad de Cartagena;2017
Veroír el fracaso iluminado, Cecilia Vicuña;kunstinstutuut Melly;Banco de la Republica de Colombia;
;;;
;;;
;;;
