Titulo;Autor;Año;Editorial;País;Referencia;Linea;Categoria
Mesopotamia y el antiguo Oriente Medio;Roaf, Michael;1985;Gráficas reunidas;España;CHU-022; Cultura y espacio urbano;Cultura e Historia Universal
Renacimiento. Arte y pensamiento renuevan Europa;Mann, Nicholas;1985;Gráficas reunidas;España;CHU-023; Cultura y espacio urbano;Cultura e Historia Universal
Historia universal del arte. Volumen 1;Andromeda Oxford Ltd.;1994;Editorial Rombo;España;CHU-024; Cultura y espacio urbano;Cultura e Historia Universal
Bernini;Borsi, Franco;1984;Rizzoli;EE.UU;CHU-025; Cultura y espacio urbano;Cultura e Historia Universal
Roma y vaticano;Santini, Loretta;1982;Plurigraf;Italia;CHU-026; Cultura y espacio urbano;Cultura e Historia Universal
Paris Histórico;Blanchard, Paul;1985;Editions Lebre Internationales;Italia;CHU-027; Cultura y espacio urbano;Cultura e Historia Universal
Siglo XX. Arte, música e ideas;Friedmann, Susana;1985;Editorial Unibiblos;Colombia;CHU-028; Cultura y espacio urbano;Cultura e Historia Universal
Arquitectura en San Juan de Puerto Rico (siglo XIX).;Castro, María de los Angeles;1980;Editorial Universitaria;Puerto Rico;CHU-029; Cultura y espacio urbano;Cultura e Historia Universal
Arquitectura antillana del siglo XX;Segre, Roberto;2003;Editorial Arte y literatura;Colombia;CHU-030; Cultura y espacio urbano;Cultura e Historia Universal
Los grandes hechos de la historia;Delorme, Jean;2009;Editorial Crítica;España;CHU-031; Cultura y espacio urbano;Cultura e Historia Universal
Los origenes del hombre americano;Rivet, Paul;;Fondo de cultura economica;Colombia;CHU-032; Cultura y espacio urbano;Cultura e Historia Universal
Gran enciclopedia de bolsillo. La Tierra;El Tiempo;1997;Editorial Molino;España;CHU-033; Cultura y espacio urbano;Cultura e Historia Universal
Gran enciclopedia de bolsillo. Tiempo y Clima;El Tiempo;1997;Editorial Molino;España;CHU-034; Cultura y espacio urbano;Cultura e Historia Universal
Gran enciclopedia de bolsillo. El imperio Egipcio;El Tiempo;1997;Editorial Molino;España;CHU-035; Cultura y espacio urbano;Cultura e Historia Universal
Gran enciclopedia de bolsillo. El imperio Romano;El Tiempo;1997;Editorial Molino;España;CHU-036; Cultura y espacio urbano;Cultura e Historia Universal
Arquitectura Neobarroca;Calabrese, Omar;1987;Ediciones Cátedra;España;CHU-037; Cultura y espacio urbano;Cultura e Historia Universal
Manifiesto del nuevo espiritu;Moreno, A. ;1986;Escala;;CHU-038; Cultura y espacio urbano;Cultura e Historia Universal
Una selva de reyes. La asombrosa historia de los antiguos mayas;Shele, L. & Freidel D.;1999;Fondo de cultura economica;México;CHU-039; Cultura y espacio urbano;Cultura e Historia Universal
El significado en las artes visuales;Erwin Panofsky;1997;Alianza ;Madrid;CHU-040; Cultura y espacio urbano;Cultura e Historia Universal
La historia despues de la historia ;Josep Fontana;1992;NOVAGRAFIK;España;CHU-041; Cultura y espacio urbano;Cultura e Historia Universal
Breve historia del progreso;Ronald Wright;2006;Ediciones Urano, S.A.;España;CHU-042; Cultura y espacio urbano;Cultura e Historia Universal
;;;;;;;
Historia del Arte Colombiano. Volumen I - Fascículo 11;Salvat;1975;Salvat editores S.A;España;CHC-001; Cultura y espacio urbano;Cultura e Historia Colombiana
Historia del Arte Colombiano. Volumen III - Fascículo 34;Salvat;1975;Salvat editores S.A;España;CHC-002; Cultura y espacio urbano;Cultura e Historia Colombiana
Huella y Memoria No. 1.;Alcaldía Mayor de Bogotá;1989;Editorial Andes;Colombia;CHC-003; Cultura y espacio urbano;Cultura e Historia Colombiana
Cartagena de Indias. Puerto y plaza fuerte 3ra edición;Marco Dorta, Enrique;1988;O.P. Gráficas;Colombia;CHC-004; Cultura y espacio urbano;Cultura e Historia Colombiana
Características Geográficas Boyacá;Instituto Geográfico Agustín Codazzi;1988;IGAC;Colombia;CHC-005; Cultura y espacio urbano;Cultura e Historia Colombiana
Fontibón 400 años 1594 - 1994 pasado, presente y futuro;Alcaldía Mayor de Bogotá;1994;Colección cultural patrimonio colombiano;Colombia;CHC-006; Cultura y espacio urbano;Cultura e Historia Colombiana
Colombia y América Latina después del fin del a historia;Guerro, Javier;1997;Universidad Pedagógica y Tecnológica de Colombia;Colombia;CHC-007; Cultura y espacio urbano;Cultura e Historia Colombiana
La arquitectura de Cali. Valoración histórica;Jiménez Correa, Susana;2009;Feriva S.A;Colombia;CHC-008; Cultura y espacio urbano;Cultura e Historia Colombiana
Contexto histórico de la Arquitectura Colombiana;Instituto de Investigaciones Estéticas - Facultad de Artes Universidad Nacional de Colombia;;CIDAR;Colombia;CHC-009; Cultura y espacio urbano;Cultura e Historia Colombiana
Guajira, memoria visual;Daza Villar, Vladimir;2002;Guadalupe;Colombia;CHC-010; Cultura y espacio urbano;Cultura e Historia Colombiana
Tunja, memoria visual;Castañeda Buraglia, Antonio;1997;Banco de la República;Colombia;CHC-011; Cultura y espacio urbano;Cultura e Historia Colombiana
El cementerio central: Bogotá, la vida urbana y la muerte;Calvo Isaza, Oscar Iván;1998;T/M Editores;Colombia;CHC-012; Cultura y espacio urbano;Cultura e Historia Colombiana
Villa de Leyva Sáchica. Zona histórica, estudio analítico y reglamentario;Téllez, German y Moure, Ernesto;1982;Escala;Colombia;CHC-013; Cultura y espacio urbano;Cultura e Historia Colombiana
Montículo funerario del alto de Betania (Isnos). Territorialidad y espacio de los muertos en la cultura de San Agustín;Llanos Vargas, Héctor;1995;Editorial Presencia;Colombia;CHC-014; Cultura y espacio urbano;Cultura e Historia Colombiana
Las industrias liticas de San Agustín;Pinto Nolla, Maria y Llanos Vargas, Héctor;1997;Guadalupe;Colombia;CHC-015; Cultura y espacio urbano;Cultura e Historia Colombiana
Colombia: Distribución espacial de la población;Cardona, Ramiro;1976;Edtorial Canal Ramírez;Colombia;CHC-016; Cultura y espacio urbano;Cultura e Historia Colombiana
Raíces hispánicas de la arquitectura colombiana Vol.23;Corradine Angulo, Alberto;1970;Lito Camargo Ltda.;Colombia;CHC-017; Cultura y espacio urbano;Cultura e Historia Colombiana
La Colonia en la historiografía Colombiana;Tovar Zambrano, Bernardo;1990;Editorial Presencia;Colombia;CHC-018; Cultura y espacio urbano;Cultura e Historia Colombiana
La insurgencia de las provincias. Hacia un nuevo ordenamiento territorial para Colombia;Guhl, Ernesto et al.;2001;Siglo veintiuno de Colombia, Ltda.;Colombia;CHC-019; Cultura y espacio urbano;Cultura e Historia Colombiana
Boyacá - Colombia. Guía región Histórica;Instituto Colombiano de Cultura. Colcultura;1998;Escala;Colombia;CHC-020; Cultura y espacio urbano;Cultura e Historia Colombiana
Popayán - Colombia. Guía región Histórica;Instituto Colombiano de Cultura. Colcultura;1996;Escala;Colombia;CHC-021; Cultura y espacio urbano;Cultura e Historia Colombiana
Cartagena de Indias - Colombia. Guía región Histórica;Instituto Colombiano de Cultura. Colcultura;1997;Escala;Colombia;CHC-022; Cultura y espacio urbano;Cultura e Historia Colombiana
Historia de Bogotá - Conquista y Colonia 1 Tomo1;Salvat;;Salvat editores S.A;Colombia;CHC-023; Cultura y espacio urbano;Cultura e Historia Colombiana
Historia de Bogotá - Conquista y Colonia 2 Tomo2;Salvat;;Salvat editores S.A;Colombia;CHC-024; Cultura y espacio urbano;Cultura e Historia Colombiana
Historia de Bogotá - Conquista y Colonia 3 Tomo3;Salvat;;Salvat editores S.A;Colombia;CHC-025; Cultura y espacio urbano;Cultura e Historia Colombiana
Historia de Bogotá - Conquista y Colonia 4 Tomo4;Salvat;;Salvat editores S.A;Colombia;CHC-026; Cultura y espacio urbano;Cultura e Historia Colombiana
Siglo XIX Tomo 1;Salvat;;Salvat editores S.A;Colombia;CHC-027; Cultura y espacio urbano;Cultura e Historia Colombiana
Siglo XIX Tomo 2;Salvat;;Salvat editores S.A;Colombia;CHC-028; Cultura y espacio urbano;Cultura e Historia Colombiana
Siglo XIX Tomo 3;Salvat;;Salvat editores S.A;Colombia;CHC-029; Cultura y espacio urbano;Cultura e Historia Colombiana
Fídolo Alfonso González Camargo: La visión interior;Londoño Vélez, Santiago;2003;Panamericana Formas e Impresos S.A;Colombia;CHC-030; Cultura y espacio urbano;Cultura e Historia Colombiana
El quinquenio de la Modernización;Credencial Historia;2004;Printer Colombia S.A;Colombia;CHC-031; Cultura y espacio urbano;Cultura e Historia Colombiana
Obras sociales las 10 del siglo XX en Colombia;Credencial Historia;1999;Printer Colombia S.A;Colombia;CHC-032; Cultura y espacio urbano;Cultura e Historia Colombiana
Panamá: el último año;Credencial Historia;2004;Printer Colombia S.A;Colombia;CHC-033; Cultura y espacio urbano;Cultura e Historia Colombiana
La guerra de los mil días. El Siglo XX colombiano nació con la herencia de la guerra que habiamos comenzado en la agonia del Siglo XIX;Credencial Historia;2004;Printer Colombia S.A;Colombia;CHC-034; Cultura y espacio urbano;Cultura e Historia Colombiana
Cien años de progreso asombro y de violencia sin fin;Credencial Historia;2004;Printer Colombia S.A;Colombia;CHC-035; Cultura y espacio urbano;Cultura e Historia Colombiana
Arquitecturas;Credencial Historia;1997;Printer Colombia S.A;Colombia;CHC-036; Cultura y espacio urbano;Cultura e Historia Colombiana
La ciudad Colombiana. Prehispanica de conquista e indiana;Aprile-Gniset, Jacques;1991;Talleres Gráficos Banco Popular;Colombia;CHC-037; Cultura y espacio urbano;Cultura e Historia Colombiana
La ciudad Colombiana. Siglo XIX y Siglo XX;Aprile-Gniset, Jacques;1992;Talleres Gráficos Banco Popular;Colombia;CHC-038; Cultura y espacio urbano;Cultura e Historia Colombiana
Colonización antioqueña y vida cotidiana;Valencia Llano, Alberto;2018;Universidad de Caldas;Colombia;CHC-039; Cultura y espacio urbano;Cultura e Historia Colombiana
Moscas de todos lo colores. Historia del barrio Guayaquil de Medellin 1894-1934;Jorge Mario Betancur Gómez;2000;Ministerio de Cultura ;Colombia;CHC-040; Cultura y espacio urbano;Cultura e Historia Colombiana
Del barrios de la divina providencia al Jorge Eliecer Gaitan;Diana Blanco, Olga Castañeda, Alexis Pacheco;2020;Alcaldia de Bogotá;Colombia;CHC-041; Cultura y espacio urbano;Cultura e Historia Colombiana
;;;;;;;
Diccionario Planeta de la lengua española usual;Planeta;1982;Planeta;España;CG-001; Cultura y espacio urbano;Cultura General
Diccionario norma. Sinónimos y antónimos. Con extensos anexos de ortografía y gramática del español;Grupo Editorial Norma;2001;Norma;Colombia;CG-002; Cultura y espacio urbano;Cultura General
La relación cultura naturaleza en la arquitectura occidental;Martínez Espinal, Harold;2011;Artes Gráficas del Valle;Colombia;CG-003; Cultura y espacio urbano;Cultura General
Guerra irregular en la América Meridional. Ensayo de historia social comparada. S. XVIII - XIX;Perez O., Eduardo;1994;Universidad Pedagógica y Tecnológica de Colombia;Colombia;CG-004; Cultura y espacio urbano;Cultura General
Modernindad y postmodernidad en América Latina. Estado del debate;Fernandez Cox, Cristian et al.;1991;Escala;Colombia;CG-005; Cultura y espacio urbano;Cultura General
Casanare. Pasado regional y educación. Hitos históricos y habitantes prehispánicos de Chire y Moreno;Becerra B., José Virgilio;2009;Diseño Editorial Ltda.;Colombia;CG-006; Cultura y espacio urbano;Cultura General
Restauración de la ciudad vieja de Jerusalem;Compañía oara el Desarrollo de Jerusalem Oriental;1986;Compañía para el Desarrollo de Jerusalem Oriental;Jerusalem;CG-007; Cultura y espacio urbano;Cultura General
Repertorio Boyacense. Organo de la Academia Boyacense de Historia.;Academia Boyacense de Historia;1990;Talleres Gráficos de Editorial ABC;Colombia;CG-008; Cultura y espacio urbano;Cultura General
El agua en la historia de una ciudad. Vol 1. El acueducto colonial, la diosa agua y la tubería de hierro desde antes de 1538 hasta 1888¿7;Alcaldía Mayor de Bogotá;1995;Departamento de Artes Gráficas E.A.A.B.;;CG-009; Cultura y espacio urbano;Cultura General
Caminos identitarios entre Artengina y España. Los viajes a Europa de Ricardo Rojas;Nuzzo, Giulia;2015;Planeta;Colombia;CG-010; Cultura y espacio urbano;Cultura General
De ignorancias e invenciones. Generación de conocimiento en acciones creadoras a partir de una receta de cocina;Garavito López, Elizabeth ;2013;Imprenta Nacional;Colombia;CG-011; Cultura y espacio urbano;Cultura General
Fragmentos de la memoria. Los artistas latinoamericános piensan el pasado;Pini, Ivonne;2001;Editorial Unibiblos;Colombia;CG-012; Cultura y espacio urbano;Cultura General
Orientación cooperativa;Calderon B., Mario;;Cecora;;CG-013; Cultura y espacio urbano;Cultura General
La arquitectura Japonesa;The Japan Foundation;1983;The Japan Foundation;Japón;CG-014; Cultura y espacio urbano;Cultura General
Testimonio arqueológio de México 300 años de cultura;Museo Nacional de Colombia;1984;Imprenta Madero;Colombia;CG-015; Cultura y espacio urbano;Cultura General
La revolución continua. Reencuentro con Lenin. La revolución de octubre y la perestroika;Shatrov, Mijalí et al.;1988;Nóvosti;Rusia;CG-016; Cultura y espacio urbano;Cultura General
Saussure y Chomsky. Introducción a su lingüística;Velilla Barquero, Ricardo;1974;Cincel;Colombia;CG-017; Cultura y espacio urbano;Cultura General
Fides et Ratio. Sobre las relaciones entre Fe y Razón;Juan Pablo II;;Paulinas;;CG-018; Cultura y espacio urbano;Cultura General
Curso de Filosofía. Libro primero. Principios elementales;Politzer, Georges;1982;Editorial Colombia Nueva Ltda;Colombia;CG-019; Cultura y espacio urbano;Cultura General
¿Existe una filosofía de nuestra américa?;Salazar Bondy, August;1985;Siglo veintiuno de Colombia, Ltda.;México;CG-020; Cultura y espacio urbano;Cultura General
Cultura Latinoamericana;Instituto di Studi Latinoamericani - Pagani, Universidad Católica de Colombia, Instituto Caro y Cuervo;2009;Instituto Caro y Cuervo;Colombia;CG-021; Cultura y espacio urbano;Cultura General
Asno, mujer y nuez… Origen y uso de la paremia en la lengua española;Colucciello, Mariarosaria;2014;Planeta;Colombia;CG-022; Cultura y espacio urbano;Cultura General
Publicación semestral de la Biblioteca Nacional de Colombia. Senderos. Vol V;Instituto Colombiano de Cultura. Colcultura;1993;Editorial Presencia;Colombia;CG-023; Cultura y espacio urbano;Cultura General
Boletín Cultural y Bibliográfico. Vol. XLIX. Núm. 89;Banco de la República;2015;Banco de la República;Colombia;CG-024; Cultura y espacio urbano;Cultura General
Bordes y confines. Catálogo de un viaje por Suramérica;Ministerio de Relaciones Exteriores;2008;Legis;Colombia;CG-025; Cultura y espacio urbano;Cultura General
Arte y diseño: problemas en torno a su definición cultural;Mosquera, Gerardo;1989;Editorial Arte y literatura;Cuba;CG-026; Cultura y espacio urbano;Cultura General
Brasil en Síntesis;Embajada de Brasil;2005;Sector divulgación, Embajada de Brasil;Argentina;CG-027; Cultura y espacio urbano;Cultura General
Guía de rutas por Colombia;Fondo de promoción turística Colombia;2002;Puntos suspensivos Editores;Colombia;CG-028; Cultura y espacio urbano;Cultura General
Conflictos Territoriales en el espacio marítimo del Caribe. Trasfono de intereses, características y principios de solución;Ratter, Beate;1997;Fondo FEN Colombi;Colombia;CG-029; Cultura y espacio urbano;Cultura General
Benito Javier Carrasco: sus textos;Berjman, Sonia;1997;FAUBA;Argentina;CG-030; Cultura y espacio urbano;Cultura General
Instituto de Investigaciones Estéticas. Ensayos 1995;Facultad de Artes. Universidad Nacional de Colombia;1996;Imprenta Patriótica del Instituto Caro y Cuervo;Colombia;CG-031; Cultura y espacio urbano;Cultura General
Perspectiva Geográfica. Revista del programa de estudios de posgrado en Geografía Vol. 15;Universidad Pedagógica y Tecnológica de Colombia - IGAC;2010;Universidad Pedagógica y Tecnológica de Colombia;Colombia;CG-032;;Cultura General
Colombia y el Continente;Morales Benitez, Otto;1995;Universidad del Quindío;Colombia;CG-033; Cultura y espacio urbano;Cultura General
Philosophia Personae. Una antropología para el siglo XXI. II Congreso internacional;Garnica Ríos, Francy Liliana et al.;2013;Digiprint editores e. u.;Colombia;CG-034; Cultura y espacio urbano;Cultura General
Economía solidaria para un mundo en globalización;Salgado Rodríguez, Edgar;2012;Periódicas S.A.S;Colombia;CG-035; Cultura y espacio urbano;Cultura General
Geografía 2. El territorio mundial: econoía, cultura, poder;Ascón, Rosa et al.;;Editorial Crítica;España;CG-036;;
Ensayos de historia social;Jaramillo Uribe, Jaime;2001;Alfaomega Colombiana S.A;Colombia;CG-037; Cultura y espacio urbano;Cultura General
Municipios Colombianos. Indice monográfico de los municipios del país;Senado de la República;1989;Editolaser;Colombia;CG-038; Cultura y espacio urbano;Cultura General
De la transición al zapaterismo. La evolución del sistema político español entre presidencialización y personalización;Picarella, Lucia;2014;Planeta;Colombia;CG-039; Cultura y espacio urbano;Cultura General
Anuario Colombiano de Historia Social y de la Cultura;Facultad de Ciencias Humanas. Departamento de Historia. Universidad Nacional de Colombia;2000;Editorial Unibiblos;Colombia;CG-040; Cultura y espacio urbano;Cultura General
Las fortificaciones de Cartagena de Indias estrategia e historia;Segovia Salas, Rodolfo;1981;Sandri y Cía. Ltda.;Colombia;CG-041; Cultura y espacio urbano;Cultura General
El movimiento moderno en Barranquilla muestra de arquitectura 1946 - 1964;Facultad de Artes. Universidad Nacional de Colombia;2003;Universidad Nacional de Colombia;Colombia;CG-042; Cultura y espacio urbano;Cultura General
Museo etnográfico. Leticia, Amazonas, Colombia;Banco de la República;2014;Banco de la República;Colombia;CG-043; Cultura y espacio urbano;Cultura General
Cartagena y la casa de Huéspedes ilustres de Colombia;Díaz, Hernan;1986;DIMO-LIBROS;Colombia;CG-044; Cultura y espacio urbano;Cultura General
Análisis del texto literario. La retícula;García González, Julián;1999;Universidad Nacional de Colombia - Sede Manizales;Colombia;CG-045; Cultura y espacio urbano;Cultura General
En busca de lo propio. Inicios de la modernidad en el arte de Cuba, México, Uruguay y Colombia 1920 - 1930;Pini, Ivonne;2000;Universidad Nacional de Colombia;Colombia;CG-046; Cultura y espacio urbano;Cultura General
Reflexiones sobre la ética profesional;Consejo Profesional Nacional de Arquitectura y sus profesiones auxiliares Colombia;2007;Cedro Impresores S.A;Colombia;CG-047; Cultura y espacio urbano;Cultura General
En torno al origen del objeto industrial en Colombia;Muñoz Tenjo, Humberto;2002;Editorial Unibiblos;Colombia;CG-048; Cultura y espacio urbano;Cultura General
Chile a world class tourist destination;Chiletravel;;Chiletravel;Chile;CG-049; Cultura y espacio urbano;Cultura General
Árboles para Bucaramanga. Especies que fortalecen la estructura ecolóogica principal;Universidad Antonio Nariño;2008;Opciones Gráficas Editores;Colombia;CG-050; Cultura y espacio urbano;Cultura General
La Biblia para el pueblo;Sociedad Biblica Católica Internacional;1988;Paulinas;Colombia;CG-051; Cultura y espacio urbano;Cultura General
El decamerón;Boccaccio, Giovanni;2005;Gráficas modernas;Colombia;CG-052; Cultura y espacio urbano;Cultura General
¿La realidad objetiva o construida? I Fundamentos Biológicos de la realidad;Humberto Maturana R.;1995;Editorial Anthropos;Mexico;CG-053; Cultura y espacio urbano;Cultura General
¿La realidad objetiva o construida? II Fundamentos Biológicos del conocimiento;Humberto Maturana R.;1996;Editorial Anthropos;Mexico;CG-054; Cultura y espacio urbano;Cultura General
La interpretación de las culturas;Clifford Geertz;2000;Editorial Gedisa, S.A.;España;CG-055; Cultura y espacio urbano;Cultura General
La cultura popular en la europa moderna;Peter Burke;1978;Alianza Editorial;España;CG-056; Cultura y espacio urbano;Cultura General
Las estructuras de lo cotidiano Tomo I;Fernand Braudel;1984;Alianza Editorial;España;CG-057; Cultura y espacio urbano;Cultura General
El cambio global en el medio ambiente. Introducción a sus causas humanas;Manuel Ludevid Anglada;1997;Marcombo S.A.;España;CG-058; Cultura y espacio urbano;Cultura General
;;;;;;;
Leonardo da Vinci, obra completa;Zöllne, Frank;2006;Taschen;China;AFD-001; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Leonardo da Vinci, esbozos y dibujos;Zöllne, Frank;2006;Taschen;China;AFD-002; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Hans Holbein;Pinacoteca de los genios;1964;Codex;Argentina;AFD-003; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Picasso II;Pinacoteca de los genios;1964;Atlantida;Argentina;AFD-004; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Todo el poder para el pueblo;Douglas, Emory;2016;Banco de la República;Colombia;AFD-005; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Graphic design;Page One Publising Ptd Ltd;;Könemann Verlasgsgessellschaft;Alemania;AFD-006; Cultura y espacio urbano;Arte, Fotografía y Dibujo
The creative index;Creative Magazines;;Rotovision S.A;Reino Unido;AFD-007; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Arte de Colombia en Usaquén;Juntas Administradoras Locales - Localidad 1 de Usaquén;;El pulso de los tiempo editores;Colombia;AFD-008; Cultura y espacio urbano;Arte, Fotografía y Dibujo
51910;Teatro Argentino;2010;Teatro Argentino;Argentina;AFD-009; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Decorar jóven;Magnani, Franco;1989;Gustavo Gili;España;AFD-010; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Universitas. Gran enciclopedia del saber. Tomo 6. Las Artes;Salvat;1979;Salvat editores S.A;España;AFD-011; Cultura y espacio urbano;Arte, Fotografía y Dibujo
The Stock Market. Vol. 8.;Robert Prechter;1994;LatinStock;EE.UU;AFD-012; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Selects Vol. 4 Exceptional stock photography;FPG;1991;FPG International;Japón;AFD-013; Cultura y espacio urbano;Arte, Fotografía y Dibujo
XVII Salón de Fuego;Fundación Gilberto Alzate Avendaño;2002;Panamericana;Colombia;AFD-014; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Maestros de la pintura. Modigliani;Anesa - Noguer - Rizzoli;1973;Editorial América;;AFD-015; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Maestros de la pintura. Manet 1;Anesa - Noguer - Rizzoli;1973;Editorial América;;AFD-016; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del arte Salvat. Gauguin;Salvat;1970;Salvat editores S.A;Colombia;AFD-017; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Klink;Showcase photography;2003;American showcase;EE.UU;AFD-018; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Claude Monet 1840 - 1926;Heinrich, Cristoph;1994;Taschen;España;AFD-019; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Pablo Picasso 18811 - 1973. El genio del siglo;Walther, Ingo F.;1994;Taschen;España;AFD-020; Cultura y espacio urbano;Arte, Fotografía y Dibujo
ExpresArte. No. 1;Facultad de Artes. Universidad Nacional de Colombia;1997;Tipografía Arist;Colombia;AFD-021; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Foto guia No.2;Zuluaga M., Juan Bautista;1997;Dos compañía gráfica;Colombia;AFD-022; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. Renacimiento II Vol. 6 Fascículo 4;Planeta de Agostini;1997;Planeta de Agostini;España;AFD-023; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. El barroco y el rococó Vol 7 Fascículo 13;Planeta de Agostini;1997;Planeta de Agostini;España;AFD-024; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. El barroco y el rococó Vol 7 Fascículo 14;Planeta de Agostini;1997;Planeta de Agostini;España;AFD-025; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. El barroco y el rococó Vol 7 Fascículo 15;Planeta de Agostini;1997;Planeta de Agostini;España;AFD-026; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. El barroco y el rococó Vol7 Fascículo 16;Planeta de Agostini;1997;Planeta de Agostini;España;AFD-027; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La antigüedad clásica Vol 2 Fascículo 59;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-028; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La antigüedad clásica Vol 2 Fascículo 60;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-029; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La edad media I Vol 3 Fascículo 70;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-030; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La edad media I Vol 3 Fascículo 71;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-031; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La edad media I Vol 3 Fascículo 72;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-032; Cultura y espacio urbano;Arte, Fotografía y Dibujo
Historia del Arte. La edad media II Vol. 4 Fascículo. 79;Planeta de Agostini;1998;Planeta de Agostini;España;AFD-033; Cultura y espacio urbano;Arte, Fotografía y Dibujo
